retro_game_id,id,first,last,position,name
OAK201909040,427366,Brian,O'Nora,home,Brian O'Nora
OAK201909040,428442,James,Hoye,first,James Hoye
OAK201909040,605673,Alex,Tosi,second,Alex Tosi
OAK201909040,483919,Mark,Ripperger,third,Mark Ripperger
CLE201909040,639723,Brennan,Miller,home,Brennan Miller
CLE201909040,482620,Chris,Conroy,first,Chris Conroy
CLE201909040,427053,Mark,Carlson,second,Mark Carlson
CLE201909040,503586,Tripp,Gibson,third,Tripp Gibson
LAN201909040,482663,David,Rackley,home,David Rackley
LAN201909040,427520,Larry,Vanover,first,Larry Vanover
LAN201909040,484499,Manny,Gonzalez,second,Manny Gonzalez
LAN201909040,483564,Dan,Bellino,third,Dan Bellino
KCA201909040,483912,Mike,Muchlinski,home,Mike Muchlinski
KCA201909040,427128,Rob,Drake,first,Rob Drake
KCA201909040,427509,Tim,Timmons,second,Tim Timmons
KCA201909040,577468,Roberto,Ortiz,third,Roberto Ortiz
PIT201909040,547380,Carlos,Torres,home,Carlos Torres
PIT201909040,427220,Angel,Hernandez,first,Angel Hernandez
PIT201909040,427361,Paul,Nauert,second,Paul Nauert
PIT201909040,596805,John,Libka,third,John Libka
BOS201909040,594151,Ramon,Jesus,home,Ramon De Jesus
BOS201909040,427090,Fieldin,Culbreth,first,Fieldin Culbreth
BOS201909040,427044,CB,Bucknor,second,CB Bucknor
BOS201909040,482666,D.J.,Reyburn,third,D.J. Reyburn
WAS201909040,503493,Sean,Barber,home,Sean Barber
WAS201909040,521889,Stu,Scheurwater,first,Stu Scheurwater
WAS201909040,484198,Alan,Porter,second,Alan Porter
WAS201909040,427424,Jim,Reynolds,third,Jim Reynolds
CIN201909040,524988,Tom,Woodring,home,Tom Woodring
CIN201909040,427058,Gary,Cederstrom,first,Gary Cederstrom
CIN201909040,511890,Quinn,Wolcott,second,Quinn Wolcott
CIN201909040,427243,Marvin,Hudson,third,Marvin Hudson
ARI201909040,483630,John,Tumpane,home,John Tumpane
ARI201909040,427013,Lance,Barksdale,first,Lance Barksdale
ARI201909040,427019,Ted,Barrett,second,Ted Barrett
ARI201909040,427095,Kerwin,Danley,third,Kerwin Danley
SLN201909040,596740,Jansen,Visconti,home,Jansen Visconti
SLN201909040,484183,Cory,Blaser,first,Cory Blaser
SLN201909040,427362,Jeff,Nelson,second,Jeff Nelson
SLN201909040,427113,Laz,Diaz,third,Laz Diaz
NYA201909040,504381,Will,Little,home,Will Little
NYA201909040,427538,Joe,West,first,Joe West
NYA201909040,503490,Chris,Segal,second,Chris Segal
NYA201909040,427081,Eric,Cooper,third,Eric Cooper
